entry_time,exit_time,type,strike,entry_premium,exit_premium,entry_spot,exit_spot,qty,pnl,exit_reason,duration
1970-01-01 00:00:01.764578520,1970-01-01 00:00:01.764580320,CE,26200,184.85,163.76,26213.85,26172.5,50,-1061.5000000000002,TSL Hit,1.6666666666666667e-08
1970-01-01 00:00:01.764581400,1970-01-01 00:00:01.764647100,CE,26150,186.61,165.67,26167.8,26127.05,50,-1054.0000000000014,TSL Hit,1.0833333333333333e-06
1970-01-01 00:00:01.764647100,1970-01-01 00:00:01.764651780,PE,26150,174.65,193.98,26127.05,26090.05,50,959.4999999999992,TSL Hit,6.666666666666667e-08
1970-01-01 00:00:01.764652320,1970-01-01 00:00:01.764658980,PE,26050,151.04,146.95,26074.65,26083.6,50,-211.50000000000017,Profit Lock Hit,1.0000000000000001e-07
1970-01-01 00:00:01.764659160,1970-01-01 00:00:01.764669060,PE,26050,152.15,163.48,26072.25,26048.35,50,559.4999999999992,TSL Hit,1.5e-07
1970-01-01 00:00:01.764733500,1970-01-01 00:00:01.764742140,PE,26050,174.56,219.77,26026.0,25943.05,50,2253.5000000000005,TSL Hit,1.3333333333333334e-07
1970-01-01 00:00:01.764742320,1970-01-01 00:00:01.764744660,PE,25950,171.64,155.47,25930.55,25963.8,50,-815.4999999999993,TSL Hit,3.3333333333333334e-08
1970-01-01 00:00:01.764747360,1970-01-01 00:00:01.764751320,PE,25950,169.76,162.85,25934.3,25948.35,50,-352.49999999999983,TSL Hit,5.0000000000000004e-08
1970-01-01 00:00:01.764751680,1970-01-01 00:00:01.764753660,PE,25950,170.04,155.28,25933.75,25964.2,50,-744.9999999999995,TSL Hit,1.6666666666666667e-08
1970-01-01 00:00:01.764755280,1970-01-01 00:00:01.764820080,CE,26000,169.9,150.96,25987.55,25948.6,50,-953.9999999999999,TSL Hit,1.0666666666666667e-06
1970-01-01 00:00:01.764820260,1970-01-01 00:00:01.764828360,CE,26000,168.84,197.3,25985.45,26039.35,50,1416.0000000000005,TSL Hit,1.3333333333333334e-07
1970-01-01 00:00:01.764830340,1970-01-01 00:00:01.764837360,PE,26000,151.12,161.62,26023.8,26001.55,50,518.0,TSL Hit,1.1666666666666667e-07
1970-01-01 00:00:01.764839520,1970-01-01 00:00:01.764840240,PE,26000,162.08,143.92,26000.6,26039.65,50,-915.0000000000013,TSL Hit,0.0
1970-01-01 00:00:01.764906300,1970-01-01 00:00:01.764908820,CE,26050,171.83,163.66,26040.7,26024.35,50,-415.5000000000008,TSL Hit,3.3333333333333334e-08
1970-01-01 00:00:01.764909180,1970-01-01 00:00:01.764910620,CE,26100,176.21,147.98,26098.6,26040.75,50,-1418.500000000001,TSL Hit,1.6666666666666667e-08
1970-01-01 00:00:01.764911160,1970-01-01 00:00:01.764923580,CE,26050,186.62,237.15,26069.1,26157.0,50,2519.5,TSL Hit,2.0000000000000002e-07
1970-01-01 00:00:01.764924120,1970-01-01 00:00:01.764927000,PE,26150,156.11,151.76,26165.1,26174.45,50,-224.50000000000114,Profit Lock Hit,3.3333333333333334e-08
1970-01-01 00:00:01.765256940,1970-01-01 00:00:01.765260720,CE,25800,181.03,187.13,25811.75,25823.2,50,297.9999999999997,TSL Hit,5.0000000000000004e-08
1970-01-01 00:00:01.765261440,1970-01-01 00:00:01.765265040,CE,25850,175.6,176.76,25850.7,25852.95,50,50.99999999999983,TSL Hit,5.0000000000000004e-08
1970-01-01 00:00:01.765265580,1970-01-01 00:00:01.765269900,CE,25900,166.88,156.64,25882.9,25862.0,50,-519.0000000000005,TSL Hit,6.666666666666667e-08
1970-01-01 00:00:01.765271880,1970-01-01 00:00:01.765338300,PE,25800,150.06,130.87,25823.4,25866.9,50,-966.4999999999999,TSL Hit,1.1e-06
1970-01-01 00:00:01.765341000,1970-01-01 00:00:01.765343340,CE,25900,176.61,180.08,25902.0,25908.65,50,166.49999999999994,Profit Lock Hit,3.3333333333333334e-08
1970-01-01 00:00:01.765346220,1970-01-01 00:00:01.765352700,PE,25850,160.34,182.21,25852.25,25808.7,50,1086.5000000000002,TSL Hit,1.0000000000000001e-07
1970-01-01 00:00:01.765357560,1970-01-01 00:00:01.765425060,PE,25750,160.44,147.31,25750.75,25778.7,50,-663.4999999999998,TSL Hit,1.1166666666666666e-06
1970-01-01 00:00:01.765425960,1970-01-01 00:00:01.765427580,PE,25750,170.29,160.13,25730.75,25751.4,50,-514.9999999999998,TSL Hit,1.6666666666666667e-08
